Frequency (eV),Frequency (meV),vDOS Total,Frequency (eV),Frequency (meV),vDOS Crystalline,Frequency (eV),Frequency (meV),vDOS Amorphous
0.51027,510.27,0.039574,0.51027,510.27,0.022949,0.51027,510.27,0.051288
0.5105,510.5,0.046173,0.5105,510.5,0.02806,0.5105,510.5,0.058934
0.51074,510.74,0.048295,0.51074,510.74,0.031123,0.51074,510.74,0.060393
0.51098,510.98,0.04355,0.51098,510.98,0.027584,0.51098,510.98,0.0548
0.51121,511.21,0.043842,0.51121,511.21,0.027338,0.51121,511.21,0.05547
0.51145,511.45,0.047013,0.51145,511.45,0.025764,0.51145,511.45,0.061985
0.51168,511.68,0.040093,0.51168,511.68,0.021471,0.51168,511.68,0.053214
0.51192,511.92,0.040737,0.51192,511.92,0.024762,0.51192,511.92,0.051992
0.51216,512.16,0.04503,0.51216,512.16,0.027687,0.51216,512.16,0.057249
0.51239,512.39,0.042123,0.51239,512.39,0.02454,0.51239,512.39,0.054512
0.51263,512.63,0.040412,0.51263,512.63,0.023374,0.51263,512.63,0.052417
0.51287,512.87,0.04255,0.51287,512.87,0.02324,0.51287,512.87,0.056155
0.5131,513.1,0.046457,0.5131,513.1,0.023719,0.5131,513.1,0.062477
0.51334,513.34,0.043642,0.51334,513.34,0.02438,0.51334,513.34,0.057212
0.51358,513.58,0.037627,0.51358,513.58,0.02136,0.51358,513.58,0.049088
0.51381,513.81,0.03803,0.51381,513.81,0.018287,0.51381,513.81,0.05194
0.51405,514.05,0.040738,0.51405,514.05,0.021024,0.51405,514.05,0.054628
0.51428,514.28,0.040818,0.51428,514.28,0.023467,0.51428,514.28,0.053043
0.51452,514.52,0.04021,0.51452,514.52,0.020358,0.51452,514.52,0.054198
0.51476,514.76,0.039004,0.51476,514.76,0.020901,0.51476,514.76,0.051759
0.51499,514.99,0.037224,0.51499,514.99,0.023409,0.51499,514.99,0.046958
0.51523,515.23,0.037291,0.51523,515.23,0.02432,0.51523,515.23,0.04643
0.51547,515.47,0.043512,0.51547,515.47,0.024318,0.51547,515.47,0.057035
0.5157,515.7,0.041981,0.5157,515.7,0.02218,0.5157,515.7,0.055931
0.51594,515.94,0.036167,0.51594,515.94,0.020543,0.51594,515.94,0.047175
0.51618,516.18,0.039241,0.51618,516.18,0.022169,0.51618,516.18,0.051269
0.51641,516.41,0.038333,0.51641,516.41,0.02019,0.51641,516.41,0.051116
0.51665,516.65,0.038101,0.51665,516.65,0.02061,0.51665,516.65,0.050426
0.51688,516.88,0.03925,0.51688,516.88,0.023043,0.51688,516.88,0.050668
0.51712,517.12,0.040206,0.51712,517.12,0.021343,0.51712,517.12,0.053496
0.51736,517.36,0.039475,0.51736,517.36,0.018372,0.51736,517.36,0.054343
0.51759,517.59,0.039202,0.51759,517.59,0.021375,0.51759,517.59,0.051762
0.51783,517.83,0.036425,0.51783,517.83,0.019103,0.51783,517.83,0.048629
0.51807,518.07,0.038475,0.51807,518.07,0.01727,0.51807,518.07,0.053415
0.5183,518.3,0.037685,0.5183,518.3,0.017049,0.5183,518.3,0.052224
0.51854,518.54,0.035772,0.51854,518.54,0.015867,0.51854,518.54,0.049796
0.51878,518.78,0.036118,0.51878,518.78,0.017317,0.51878,518.78,0.049364
0.51901,519.01,0.035141,0.51901,519.01,0.019252,0.51901,519.01,0.046336
0.51925,519.25,0.033112,0.51925,519.25,0.019519,0.51925,519.25,0.042689
0.51948,519.48,0.031799,0.51948,519.48,0.017649,0.51948,519.48,0.041768
0.51972,519.72,0.028691,0.51972,519.72,0.01688,0.51972,519.72,0.037012
0.51996,519.96,0.031075,0.51996,519.96,0.019127,0.51996,519.96,0.039494
0.52019,520.19,0.032236,0.52019,520.19,0.019295,0.52019,520.19,0.041355
0.52043,520.43,0.030843,0.52043,520.43,0.018195,0.52043,520.43,0.039755
0.52067,520.67,0.030002,0.52067,520.67,0.016177,0.52067,520.67,0.039743
0.5209,520.9,0.02598,0.5209,520.9,0.014471,0.5209,520.9,0.034089
0.52114,521.14,0.03087,0.52114,521.14,0.017232,0.52114,521.14,0.040479
0.52137,521.37,0.030891,0.52137,521.37,0.019473,0.52137,521.37,0.038935
0.52161,521.61,0.029561,0.52161,521.61,0.019368,0.52161,521.61,0.036742
0.52185,521.85,0.02681,0.52185,521.85,0.020042,0.52185,521.85,0.031578
0.52208,522.08,0.026488,0.52208,522.08,0.017906,0.52208,522.08,0.032536
0.52232,522.32,0.026085,0.52232,522.32,0.015858,0.52232,522.32,0.03329
0.52256,522.56,0.026248,0.52256,522.56,0.016127,0.52256,522.56,0.033379
0.52279,522.79,0.029317,0.52279,522.79,0.017027,0.52279,522.79,0.037976
0.52303,523.03,0.025089,0.52303,523.03,0.013626,0.52303,523.03,0.033166
0.52327,523.27,0.024394,0.52327,523.27,0.016658,0.52327,523.27,0.029845
0.5235,523.5,0.026631,0.5235,523.5,0.018236,0.5235,523.5,0.032546
0.52374,523.74,0.026604,0.52374,523.74,0.013753,0.52374,523.74,0.035659
0.52397,523.97,0.024441,0.52397,523.97,0.013815,0.52397,523.97,0.031928
0.52421,524.21,0.027175,0.52421,524.21,0.015874,0.52421,524.21,0.035137
0.52445,524.45,0.025215,0.52445,524.45,0.016149,0.52445,524.45,0.031603
0.52468,524.68,0.025155,0.52468,524.68,0.01651,0.52468,524.68,0.031246
0.52492,524.92,0.024889,0.52492,524.92,0.015018,0.52492,524.92,0.031844
0.52516,525.16,0.021651,0.52516,525.16,0.013651,0.52516,525.16,0.027287
0.52539,525.39,0.022756,0.52539,525.39,0.015134,0.52539,525.39,0.028127
0.52563,525.63,0.023902,0.52563,525.63,0.016477,0.52563,525.63,0.029132
0.52587,525.87,0.022921,0.52587,525.87,0.016092,0.52587,525.87,0.027732
0.5261,526.1,0.020388,0.5261,526.1,0.013679,0.5261,526.1,0.025116
0.52634,526.34,0.021165,0.52634,526.34,0.013666,0.52634,526.34,0.026448
0.52657,526.57,0.021024,0.52657,526.57,0.012813,0.52657,526.57,0.026809
0.52681,526.81,0.020387,0.52681,526.81,0.013667,0.52681,526.81,0.025122
0.52705,527.05,0.022268,0.52705,527.05,0.013421,0.52705,527.05,0.028502
0.52728,527.28,0.020878,0.52728,527.28,0.01282,0.52728,527.28,0.026555
0.52752,527.52,0.022109,0.52752,527.52,0.012773,0.52752,527.52,0.028686
0.52776,527.76,0.021374,0.52776,527.76,0.01326,0.52776,527.76,0.027091
0.52799,527.99,0.020238,0.52799,527.99,0.011879,0.52799,527.99,0.026128
0.52823,528.23,0.023516,0.52823,528.23,0.014093,0.52823,528.23,0.030155
0.52847,528.47,0.021152,0.52847,528.47,0.014198,0.52847,528.47,0.026051
0.5287,528.7,0.018946,0.5287,528.7,0.01152,0.5287,528.7,0.024178
0.52894,528.94,0.017516,0.52894,528.94,0.0094659,0.52894,528.94,0.023188
0.52917,529.17,0.017518,0.52917,529.17,0.01069,0.52917,529.17,0.02233
0.52941,529.41,0.018855,0.52941,529.41,0.013633,0.52941,529.41,0.022535
0.52965,529.65,0.019597,0.52965,529.65,0.01177,0.52965,529.65,0.025112
0.52988,529.88,0.019763,0.52988,529.88,0.0124,0.52988,529.88,0.02495
0.53012,530.12,0.017451,0.53012,530.12,0.010561,0.53012,530.12,0.022306
0.53036,530.36,0.019322,0.53036,530.36,0.011436,0.53036,530.36,0.024879
0.53059,530.59,0.018824,0.53059,530.59,0.011907,0.53059,530.59,0.023697
0.53083,530.83,0.018166,0.53083,530.83,0.011387,0.53083,530.83,0.022942
0.53106,531.06,0.016643,0.53106,531.06,0.011289,0.53106,531.06,0.020416
0.5313,531.3,0.015689,0.5313,531.3,0.013243,0.5313,531.3,0.017412
0.53154,531.54,0.016016,0.53154,531.54,0.011813,0.53154,531.54,0.018977
0.53177,531.77,0.015949,0.53177,531.77,0.010785,0.53177,531.77,0.019587
0.53201,532.01,0.016612,0.53201,532.01,0.011293,0.53201,532.01,0.020359
0.53225,532.25,0.014208,0.53225,532.25,0.010518,0.53225,532.25,0.016807
0.53248,532.48,0.014937,0.53248,532.48,0.009614,0.53248,532.48,0.018687
0.53272,532.72,0.015159,0.53272,532.72,0.01063,0.53272,532.72,0.018349
0.53296,532.96,0.014908,0.53296,532.96,0.011302,0.53296,532.96,0.017448
0.53319,533.19,0.015036,0.53319,533.19,0.011283,0.53319,533.19,0.017679
0.53343,533.43,0.015098,0.53343,533.43,0.010873,0.53343,533.43,0.018075
0.53366,533.66,0.016606,0.53366,533.66,0.011871,0.53366,533.66,0.019941
0.5339,533.9,0.015134,0.5339,533.9,0.011838,0.5339,533.9,0.017456
0.53414,534.14,0.014173,0.53414,534.14,0.010685,0.53414,534.14,0.01663
0.53437,534.37,0.013013,0.53437,534.37,0.010853,0.53437,534.37,0.014534
0.53461,534.61,0.013614,0.53461,534.61,0.010989,0.53461,534.61,0.015464
0.53485,534.85,0.013413,0.53485,534.85,0.010708,0.53485,534.85,0.01532
0.53508,535.08,0.013227,0.53508,535.08,0.010257,0.53508,535.08,0.015319
0.53532,535.32,0.013739,0.53532,535.32,0.010468,0.53532,535.32,0.016043
0.53556,535.56,0.012761,0.53556,535.56,0.0092874,0.53556,535.56,0.015209
0.53579,535.79,0.012,0.53579,535.79,0.0098181,0.53579,535.79,0.013538
0.53603,536.03,0.011615,0.53603,536.03,0.0087935,0.53603,536.03,0.013602
0.53626,536.26,0.011948,0.53626,536.26,0.0095017,0.53626,536.26,0.013672
0.5365,536.5,0.011608,0.5365,536.5,0.0073574,0.5365,536.5,0.014602
0.53674,536.74,0.011499,0.53674,536.74,0.0079024,0.53674,536.74,0.014034
0.53697,536.97,0.011028,0.53697,536.97,0.0083137,0.53697,536.97,0.01294
0.53721,537.21,0.01195,0.53721,537.21,0.0096863,0.53721,537.21,0.013546
0.53745,537.45,0.011115,0.53745,537.45,0.0088977,0.53745,537.45,0.012678
0.53768,537.68,0.011723,0.53768,537.68,0.0075535,0.53768,537.68,0.01466
0.53792,537.92,0.011532,0.53792,537.92,0.0086548,0.53792,537.92,0.01356
0.53816,538.16,0.011192,0.53816,538.16,0.0088887,0.53816,538.16,0.012815
0.53839,538.39,0.011034,0.53839,538.39,0.0093723,0.53839,538.39,0.012205
0.53863,538.63,0.0096415,0.53863,538.63,0.0084383,0.53863,538.63,0.010489
0.53886,538.86,0.010421,0.53886,538.86,0.0087914,0.53886,538.86,0.01157
0.5391,539.1,0.010242,0.5391,539.1,0.0078917,0.5391,539.1,0.011899
0.53934,539.34,0.010288,0.53934,539.34,0.0089136,0.53934,539.34,0.011257
0.53957,539.57,0.010536,0.53957,539.57,0.0088012,0.53957,539.57,0.011759
0.53981,539.81,0.0095823,0.53981,539.81,0.0085712,0.53981,539.81,0.010295
0.54005,540.05,0.0095897,0.54005,540.05,0.0076935,0.54005,540.05,0.010926
0.54028,540.28,0.0096759,0.54028,540.28,0.0079991,0.54028,540.28,0.010857
0.54052,540.52,0.0088889,0.54052,540.52,0.0070573,0.54052,540.52,0.010179
0.54076,540.76,0.0092002,0.54076,540.76,0.0063595,0.54076,540.76,0.011202
0.54099,540.99,0.0096714,0.54099,540.99,0.0078204,0.54099,540.99,0.010976
0.54123,541.23,0.009832,0.54123,541.23,0.0084049,0.54123,541.23,0.010837
0.54146,541.46,0.0095632,0.54146,541.46,0.0083422,0.54146,541.46,0.010423
0.5417,541.7,0.0090805,0.5417,541.7,0.0077104,0.5417,541.7,0.010046
0.54194,541.94,0.0087282,0.54194,541.94,0.006349,0.54194,541.94,0.010404
0.54217,542.17,0.0092353,0.54217,542.17,0.0067797,0.54217,542.17,0.010965
0.54241,542.41,0.0096429,0.54241,542.41,0.0073871,0.54241,542.41,0.011232
0.54265,542.65,0.0081982,0.54265,542.65,0.0063679,0.54265,542.65,0.0094878
0.54288,542.88,0.00831,0.54288,542.88,0.006502,0.54288,542.88,0.0095838
0.54312,543.12,0.0088344,0.54312,543.12,0.0071868,0.54312,543.12,0.0099952
0.54335,543.35,0.0088583,0.54335,543.35,0.007584,0.54335,543.35,0.0097561
0.54359,543.59,0.0079302,0.54359,543.59,0.0068816,0.54359,543.59,0.0086689
0.54383,543.83,0.0077743,0.54383,543.83,0.0068863,0.54383,543.83,0.0083999
0.54406,544.06,0.0081419,0.54406,544.06,0.0065118,0.54406,544.06,0.0092905
0.5443,544.3,0.0075131,0.5443,544.3,0.0065815,0.5443,544.3,0.0081694
0.54454,544.54,0.0071915,0.54454,544.54,0.0060987,0.54454,544.54,0.0079615
0.54477,544.77,0.0073444,0.54477,544.77,0.0060274,0.54477,544.77,0.0082724
0.54501,545.01,0.0073393,0.54501,545.01,0.0058708,0.54501,545.01,0.0083739
0.54525,545.25,0.0069755,0.54525,545.25,0.006023,0.54525,545.25,0.0076465
0.54548,545.48,0.0072086,0.54548,545.48,0.0071104,0.54548,545.48,0.0072778
0.54572,545.72,0.0073241,0.54572,545.72,0.0067448,0.54572,545.72,0.0077322
0.54595,545.95,0.0072154,0.54595,545.95,0.0058937,0.54595,545.95,0.0081467
0.54619,546.19,0.0071713,0.54619,546.19,0.0055,0.54619,546.19,0.0083489
0.54643,546.43,0.0071228,0.54643,546.43,0.0066421,0.54643,546.43,0.0074615
0.54666,546.66,0.0073111,0.54666,546.66,0.0061524,0.54666,546.66,0.0081274
0.5469,546.9,0.0069177,0.5469,546.9,0.0064557,0.5469,546.9,0.0072431
0.54714,547.14,0.0069999,0.54714,547.14,0.0066958,0.54714,547.14,0.0072142
0.54737,547.37,0.006878,0.54737,547.37,0.0055825,0.54737,547.37,0.0077908
0.54761,547.61,0.0061962,0.54761,547.61,0.0056124,0.54761,547.61,0.0066075
0.54785,547.85,0.0063362,0.54785,547.85,0.0058447,0.54785,547.85,0.0066825
0.54808,548.08,0.0066211,0.54808,548.08,0.0057288,0.54808,548.08,0.0072498
0.54832,548.32,0.0065783,0.54832,548.32,0.006167,0.54832,548.32,0.006868
0.54855,548.55,0.0065664,0.54855,548.55,0.0064997,0.54855,548.55,0.0066134
0.54879,548.79,0.0066476,0.54879,548.79,0.0057962,0.54879,548.79,0.0072474
0.54903,549.03,0.0064085,0.54903,549.03,0.0051672,0.54903,549.03,0.0072832
0.54926,549.26,0.0055051,0.54926,549.26,0.0050546,0.54926,549.26,0.0058226
0.5495,549.5,0.006695,0.5495,549.5,0.0052069,0.5495,549.5,0.0077435
0.54974,549.74,0.0062038,0.54974,549.74,0.0051442,0.54974,549.74,0.0069504
0.54997,549.97,0.005891,0.54997,549.97,0.0051423,0.54997,549.97,0.0064186
0.55021,550.21,0.00643,0.55021,550.21,0.0052315,0.55021,550.21,0.0072744
0.55045,550.45,0.0061871,0.55045,550.45,0.0053505,0.55045,550.45,0.0067766
0.55068,550.68,0.0061981,0.55068,550.68,0.005549,0.55068,550.68,0.0066554
0.55092,550.92,0.0056842,0.55092,550.92,0.0050562,0.55092,550.92,0.0061268
0.55115,551.15,0.0060213,0.55115,551.15,0.0054326,0.55115,551.15,0.006436
0.55139,551.39,0.0063575,0.55139,551.39,0.0062771,0.55139,551.39,0.0064142
0.55163,551.63,0.0057657,0.55163,551.63,0.0053945,0.55163,551.63,0.0060273
0.55186,551.86,0.0058896,0.55186,551.86,0.0052894,0.55186,551.86,0.0063124
0.5521,552.1,0.0058298,0.5521,552.1,0.0056714,0.5521,552.1,0.0059414
0.55234,552.34,0.0057772,0.55234,552.34,0.0051293,0.55234,552.34,0.0062336
0.55257,552.57,0.0056913,0.55257,552.57,0.0051485,0.55257,552.57,0.0060738
0.55281,552.81,0.0053165,0.55281,552.81,0.0050923,0.55281,552.81,0.0054746
0.55304,553.04,0.0050356,0.55304,553.04,0.0047255,0.55304,553.04,0.005254
0.55328,553.28,0.0050925,0.55328,553.28,0.0050059,0.55328,553.28,0.0051536
0.55352,553.52,0.0053166,0.55352,553.52,0.0050512,0.55352,553.52,0.0055037
0.55375,553.75,0.0052471,0.55375,553.75,0.0052489,0.55375,553.75,0.0052459
0.55399,553.99,0.0050465,0.55399,553.99,0.0053266,0.55399,553.99,0.0048491
0.55423,554.23,0.0055429,0.55423,554.23,0.0058602,0.55423,554.23,0.0053194
0.55446,554.46,0.0052805,0.55446,554.46,0.0049757,0.55446,554.46,0.0054953
0.5547,554.7,0.0054512,0.5547,554.7,0.0051139,0.5547,554.7,0.0056888
0.55494,554.94,0.004859,0.55494,554.94,0.0050255,0.55494,554.94,0.0047416
0.55517,555.17,0.0052002,0.55517,555.17,0.0050262,0.55517,555.17,0.0053228
0.55541,555.41,0.0054764,0.55541,555.41,0.0050032,0.55541,555.41,0.0058098
0.55564,555.64,0.0048931,0.55564,555.64,0.0046252,0.55564,555.64,0.0050819
0.55588,555.88,0.0053316,0.55588,555.88,0.0049902,0.55588,555.88,0.0055721
0.55612,556.12,0.0054606,0.55612,556.12,0.0049014,0.55612,556.12,0.0058546
0.55635,556.35,0.0049143,0.55635,556.35,0.0046223,0.55635,556.35,0.00512
0.55659,556.59,0.0047736,0.55659,556.59,0.0040595,0.55659,556.59,0.0052767
0.55683,556.83,0.004952,0.55683,556.83,0.0049457,0.55683,556.83,0.0049564
0.55706,557.06,0.004873,0.55706,557.06,0.0051878,0.55706,557.06,0.0046511
0.5573,557.3,0.0048435,0.5573,557.3,0.0049503,0.5573,557.3,0.0047682
0.55754,557.54,0.0049366,0.55754,557.54,0.0048238,0.55754,557.54,0.005016
0.55777,557.77,0.005064,0.55777,557.77,0.0053399,0.55777,557.77,0.0048696
0.55801,558.01,0.0050402,0.55801,558.01,0.004783,0.55801,558.01,0.0052215
0.55824,558.24,0.0048827,0.55824,558.24,0.0048719,0.55824,558.24,0.0048903
0.55848,558.48,0.0049342,0.55848,558.48,0.0051607,0.55848,558.48,0.0047746
0.55872,558.72,0.0049205,0.55872,558.72,0.0049896,0.55872,558.72,0.0048718
0.55895,558.95,0.004764,0.55895,558.95,0.0050401,0.55895,558.95,0.0045695
0.55919,559.19,0.0042479,0.55919,559.19,0.0041402,0.55919,559.19,0.0043238
0.55943,559.43,0.0046593,0.55943,559.43,0.0047389,0.55943,559.43,0.0046032
0.55966,559.66,0.0049278,0.55966,559.66,0.0055876,0.55966,559.66,0.004463
0.5599,559.9,0.0045922,0.5599,559.9,0.0048062,0.5599,559.9,0.0044413
0.56014,560.14,0.0045857,0.56014,560.14,0.0043325,0.56014,560.14,0.0047641
0.56037,560.37,0.0048882,0.56037,560.37,0.0046416,0.56037,560.37,0.005062
0.56061,560.61,0.0045604,0.56061,560.61,0.0048296,0.56061,560.61,0.0043707
0.56084,560.84,0.0047345,0.56084,560.84,0.0049969,0.56084,560.84,0.0045495
0.56108,561.08,0.0045986,0.56108,561.08,0.0046988,0.56108,561.08,0.004528
0.56132,561.32,0.0049421,0.56132,561.32,0.005383,0.56132,561.32,0.0046314
0.56155,561.55,0.0046483,0.56155,561.55,0.0057832,0.56155,561.55,0.0038486
0.56179,561.79,0.0044138,0.56179,561.79,0.0048582,0.56179,561.79,0.0041007
0.56203,562.03,0.0044285,0.56203,562.03,0.0050234,0.56203,562.03,0.0040093
0.56226,562.26,0.0049949,0.56226,562.26,0.005196,0.56226,562.26,0.0048532
0.5625,562.5,0.0049561,0.5625,562.5,0.0050314,0.5625,562.5,0.0049031
0.56274,562.74,0.0049862,0.56274,562.74,0.0053903,0.56274,562.74,0.0047016
0.56297,562.97,0.0052386,0.56297,562.97,0.0060722,0.56297,562.97,0.0046513
0.56321,563.21,0.004723,0.56321,563.21,0.0049157,0.56321,563.21,0.0045872
0.56344,563.44,0.004896,0.56344,563.44,0.0060824,0.56344,563.44,0.0040601
0.56368,563.68,0.0045148,0.56368,563.68,0.0052257,0.56368,563.68,0.004014
0.56392,563.92,0.0048544,0.56392,563.92,0.0053227,0.56392,563.92,0.0045245
0.56415,564.15,0.0045696,0.56415,564.15,0.0052098,0.56415,564.15,0.0041186
0.56439,564.39,0.0043337,0.56439,564.39,0.0048779,0.56439,564.39,0.0039503
0.56463,564.63,0.0050377,0.56463,564.63,0.0056055,0.56463,564.63,0.0046377
0.56486,564.86,0.0048716,0.56486,564.86,0.0050681,0.56486,564.86,0.0047332
0.5651,565.1,0.0048171,0.5651,565.1,0.0046739,0.5651,565.1,0.0049181
0.56533,565.33,0.0043817,0.56533,565.33,0.0044503,0.56533,565.33,0.0043334
0.56557,565.57,0.0048504,0.56557,565.57,0.0049736,0.56557,565.57,0.0047636
0.56581,565.81,0.0047888,0.56581,565.81,0.0060175,0.56581,565.81,0.0039231
0.56604,566.04,0.0045423,0.56604,566.04,0.0055526,0.56604,566.04,0.0038305
0.56628,566.28,0.0041512,0.56628,566.28,0.0045688,0.56628,566.28,0.0038569
0.56652,566.52,0.0047712,0.56652,566.52,0.0054692,0.56652,566.52,0.0042795
0.56675,566.75,0.004365,0.56675,566.75,0.0052378,0.56675,566.75,0.00375
0.56699,566.99,0.0045956,0.56699,566.99,0.0052512,0.56699,566.99,0.0041336
0.56723,567.23,0.0045343,0.56723,567.23,0.0049779,0.56723,567.23,0.0042218
0.56746,567.46,0.0050479,0.56746,567.46,0.0058517,0.56746,567.46,0.0044816
0.5677,567.7,0.0045228,0.5677,567.7,0.0055181,0.5677,567.7,0.0038216
0.56793,567.93,0.0048277,0.56793,567.93,0.0054318,0.56793,567.93,0.004402
0.56817,568.17,0.0046252,0.56817,568.17,0.0050714,0.56817,568.17,0.0043108
0.56841,568.41,0.0044266,0.56841,568.41,0.0045859,0.56841,568.41,0.0043143
0.56864,568.64,0.0044108,0.56864,568.64,0.0048403,0.56864,568.64,0.0041081
0.56888,568.88,0.0047594,0.56888,568.88,0.0053551,0.56888,568.88,0.0043397
0.56912,569.12,0.0043667,0.56912,569.12,0.0046285,0.56912,569.12,0.0041822
0.56935,569.35,0.0046801,0.56935,569.35,0.0053573,0.56935,569.35,0.004203
0.56959,569.59,0.0043455,0.56959,569.59,0.0050837,0.56959,569.59,0.0038254
0.56983,569.83,0.0046375,0.56983,569.83,0.0051574,0.56983,569.83,0.0042711
0.57006,570.06,0.0041174,0.57006,570.06,0.0043834,0.57006,570.06,0.00393
0.5703,570.3,0.0044086,0.5703,570.3,0.0054966,0.5703,570.3,0.0036421
0.57053,570.53,0.004315,0.57053,570.53,0.0048579,0.57053,570.53,0.0039325
0.57077,570.77,0.004367,0.57077,570.77,0.0045268,0.57077,570.77,0.0042543
0.57101,571.01,0.0042166,0.57101,571.01,0.0047617,0.57101,571.01,0.0038325
0.57124,571.24,0.0039541,0.57124,571.24,0.0045173,0.57124,571.24,0.0035572
0.57148,571.48,0.0044005,0.57148,571.48,0.0044094,0.57148,571.48,0.0043942
0.57172,571.72,0.0049301,0.57172,571.72,0.0051229,0.57172,571.72,0.0047943
0.57195,571.95,0.0048334,0.57195,571.95,0.0052571,0.57195,571.95,0.0045348
0.57219,572.19,0.0046528,0.57219,572.19,0.0047762,0.57219,572.19,0.0045658
0.57243,572.43,0.0043004,0.57243,572.43,0.004714,0.57243,572.43,0.004009
0.57266,572.66,0.0044026,0.57266,572.66,0.0045563,0.57266,572.66,0.0042944
0.5729,572.9,0.0041986,0.5729,572.9,0.0042327,0.5729,572.9,0.0041745
0.57313,573.13,0.0043265,0.57313,573.13,0.004879,0.57313,573.13,0.0039373
0.57337,573.37,0.0041371,0.57337,573.37,0.004712,0.57337,573.37,0.0037321
0.57361,573.61,0.0041036,0.57361,573.61,0.0042024,0.57361,573.61,0.0040341
0.57384,573.84,0.0037925,0.57384,573.84,0.0042777,0.57384,573.84,0.0034506
0.57408,574.08,0.0040019,0.57408,574.08,0.0041467,0.57408,574.08,0.0038999
0.57432,574.32,0.0044403,0.57432,574.32,0.0051551,0.57432,574.32,0.0039367
0.57455,574.55,0.0047066,0.57455,574.55,0.0050685,0.57455,574.55,0.0044516
0.57479,574.79,0.0046142,0.57479,574.79,0.0047375,0.57479,574.79,0.0045274
0.57502,575.02,0.0043318,0.57502,575.02,0.0043506,0.57502,575.02,0.0043186
0.57526,575.26,0.0045759,0.57526,575.26,0.0045231,0.57526,575.26,0.0046131
0.5755,575.5,0.0044089,0.5755,575.5,0.0048152,0.5755,575.5,0.0041226
0.57573,575.73,0.0043445,0.57573,575.73,0.0044301,0.57573,575.73,0.0042841
0.57597,575.97,0.0040651,0.57597,575.97,0.00446,0.57597,575.97,0.0037868
0.57621,576.21,0.0041338,0.57621,576.21,0.0043763,0.57621,576.21,0.0039629
0.57644,576.44,0.0044159,0.57644,576.44,0.0046275,0.57644,576.44,0.0042669
0.57668,576.68,0.0042427,0.57668,576.68,0.004808,0.57668,576.68,0.0038444
0.57692,576.92,0.0040086,0.57692,576.92,0.0043748,0.57692,576.92,0.0037506
0.57715,577.15,0.0042713,0.57715,577.15,0.0041719,0.57715,577.15,0.0043414
0.57739,577.39,0.0042452,0.57739,577.39,0.0040562,0.57739,577.39,0.0043784
0.57762,577.62,0.0041118,0.57762,577.62,0.0043479,0.57762,577.62,0.0039456
0.57786,577.86,0.0042043,0.57786,577.86,0.0047041,0.57786,577.86,0.0038521
0.5781,578.1,0.0043697,0.5781,578.1,0.0043962,0.5781,578.1,0.0043511
0.57833,578.33,0.0043595,0.57833,578.33,0.004369,0.57833,578.33,0.0043528
0.57857,578.57,0.0039815,0.57857,578.57,0.0040593,0.57857,578.57,0.0039267
0.57881,578.81,0.0042079,0.57881,578.81,0.0039682,0.57881,578.81,0.0043769
0.57904,579.04,0.0038528,0.57904,579.04,0.0041197,0.57904,579.04,0.0036648
0.57928,579.28,0.0040807,0.57928,579.28,0.004685,0.57928,579.28,0.0036549
0.57952,579.52,0.0039707,0.57952,579.52,0.0041507,0.57952,579.52,0.0038439
0.57975,579.75,0.0042659,0.57975,579.75,0.0048245,0.57975,579.75,0.0038724
0.57999,579.99,0.0039784,0.57999,579.99,0.0044272,0.57999,579.99,0.0036622
0.58022,580.22,0.0041032,0.58022,580.22,0.0040812,0.58022,580.22,0.0041188
0.58046,580.46,0.0041507,0.58046,580.46,0.0043477,0.58046,580.46,0.004012
0.5807,580.7,0.0041838,0.5807,580.7,0.0042793,0.5807,580.7,0.0041165
0.58093,580.93,0.0039629,0.58093,580.93,0.0044591,0.58093,580.93,0.0036133
0.58117,581.17,0.0043604,0.58117,581.17,0.0049421,0.58117,581.17,0.0039506
0.58141,581.41,0.0041423,0.58141,581.41,0.0037118,0.58141,581.41,0.0044456
0.58164,581.64,0.0042235,0.58164,581.64,0.0045679,0.58164,581.64,0.0039809
0.58188,581.88,0.0040819,0.58188,581.88,0.0044454,0.58188,581.88,0.0038258
0.58212,582.12,0.0042811,0.58212,582.12,0.0039573,0.58212,582.12,0.0045093
0.58235,582.35,0.0037853,0.58235,582.35,0.0037024,0.58235,582.35,0.0038437
0.58259,582.59,0.0036499,0.58259,582.59,0.0035474,0.58259,582.59,0.0037222
0.58282,582.82,0.0036907,0.58282,582.82,0.00388,0.58282,582.82,0.0035574
0.58306,583.06,0.0038969,0.58306,583.06,0.0039293,0.58306,583.06,0.0038741
0.5833,583.3,0.0039223,0.5833,583.3,0.0041655,0.5833,583.3,0.003751
0.58353,583.53,0.0037699,0.58353,583.53,0.0038233,0.58353,583.53,0.0037323
0.58377,583.77,0.0037609,0.58377,583.77,0.0034246,0.58377,583.77,0.0039979
0.58401,584.01,0.0039768,0.58401,584.01,0.0036913,0.58401,584.01,0.0041779
0.58424,584.24,0.0040693,0.58424,584.24,0.0042233,0.58424,584.24,0.0039608
0.58448,584.48,0.0040159,0.58448,584.48,0.0039472,0.58448,584.48,0.0040643
0.58472,584.72,0.003454,0.58472,584.72,0.0035353,0.58472,584.72,0.0033968
0.58495,584.95,0.0036816,0.58495,584.95,0.0038993,0.58495,584.95,0.0035283
0.58519,585.19,0.0039544,0.58519,585.19,0.0039239,0.58519,585.19,0.0039759
