Frequency (eV),Frequency (meV),vDOS Total,Frequency (eV),Frequency (meV),vDOS Crystalline,Frequency (eV),Frequency (meV),vDOS Amorphous
0.017017,17.017,7.5276,0.017017,17.017,5.8648,0.017017,17.017,8.6992
0.017253,17.253,9.0427,0.017253,17.253,6.9768,0.017253,17.253,10.498
0.017489,17.489,5.7045,0.017489,17.489,3.9942,0.017489,17.489,6.9095
0.017726,17.726,4.6634,0.017726,17.726,2.7151,0.017726,17.726,6.0362
0.017962,17.962,5.3851,0.017962,17.962,2.3706,0.017962,17.962,7.509
0.018198,18.198,5.0563,0.018198,18.198,2.7977,0.018198,18.198,6.6476
0.018435,18.435,4.3406,0.018435,18.435,2.4562,0.018435,18.435,5.6682
0.018671,18.671,6.1507,0.018671,18.671,4.705,0.018671,18.671,7.1693
0.018908,18.908,7.1316,0.018908,18.908,4.8965,0.018908,18.908,8.7064
0.019144,19.144,6.0894,0.019144,19.144,4.0584,0.019144,19.144,7.5203
0.01938,19.38,6.0975,0.01938,19.38,3.9245,0.01938,19.38,7.6286
0.019617,19.617,6.1891,0.019617,19.617,3.6849,0.019617,19.617,7.9534
0.019853,19.853,6.75,0.019853,19.853,4.1141,0.019853,19.853,8.6072
0.020089,20.089,5.7367,0.020089,20.089,3.5968,0.020089,20.089,7.2444
0.020326,20.326,7.0059,0.020326,20.326,6.6405,0.020326,20.326,7.2634
0.020562,20.562,8.5509,0.020562,20.562,9.0127,0.020562,20.562,8.2256
0.020798,20.798,5.1838,0.020798,20.798,4.9352,0.020798,20.798,5.359
0.021035,21.035,7.1785,0.021035,21.035,5.9854,0.021035,21.035,8.0191
0.021271,21.271,7.799,0.021271,21.271,7.2017,0.021271,21.271,8.2199
0.021507,21.507,7.3348,0.021507,21.507,6.1279,0.021507,21.507,8.1851
0.021744,21.744,7.2089,0.021744,21.744,4.6937,0.021744,21.744,8.981
0.02198,21.98,7.1374,0.02198,21.98,5.9495,0.02198,21.98,7.9744
0.022216,22.216,11.093,0.022216,22.216,9.4513,0.022216,22.216,12.249
0.022453,22.453,7.3298,0.022453,22.453,5.6103,0.022453,22.453,8.5413
0.022689,22.689,5.8569,0.022689,22.689,6.4019,0.022689,22.689,5.4729
0.022925,22.925,7.3318,0.022925,22.925,6.5263,0.022925,22.925,7.8993
0.023162,23.162,6.7771,0.023162,23.162,6.5197,0.023162,23.162,6.9584
0.023398,23.398,9.6375,0.023398,23.398,10.124,0.023398,23.398,9.2948
0.023634,23.634,11.661,0.023634,23.634,11.228,0.023634,23.634,11.965
0.023871,23.871,9.448,0.023871,23.871,8.3708,0.023871,23.871,10.207
0.024107,24.107,7.354,0.024107,24.107,6.126,0.024107,24.107,8.2191
0.024343,24.343,5.7483,0.024343,24.343,4.6393,0.024343,24.343,6.5297
0.02458,24.58,8.2683,0.02458,24.58,4.7402,0.02458,24.58,10.754
0.024816,24.816,12.082,0.024816,24.816,7.4644,0.024816,24.816,15.336
0.025052,25.052,9.4722,0.025052,25.052,6.9012,0.025052,25.052,11.284
0.025289,25.289,7.783,0.025289,25.289,6.4436,0.025289,25.289,8.7267
0.025525,25.525,9.5701,0.025525,25.525,7.5388,0.025525,25.525,11.001
0.025761,25.761,8.0818,0.025761,25.761,7.1718,0.025761,25.761,8.723
0.025998,25.998,7.9166,0.025998,25.998,7.3098,0.025998,25.998,8.3441
0.026234,26.234,10.037,0.026234,26.234,8.5956,0.026234,26.234,11.052
0.026471,26.471,9.1774,0.026471,26.471,5.6229,0.026471,26.471,11.682
0.026707,26.707,7.9365,0.026707,26.707,4.9161,0.026707,26.707,10.065
0.026943,26.943,8.0173,0.026943,26.943,6.4071,0.026943,26.943,9.1519
0.02718,27.18,9.8151,0.02718,27.18,8.0254,0.02718,27.18,11.076
0.027416,27.416,9.1659,0.027416,27.416,9.2246,0.027416,27.416,9.1245
0.027652,27.652,10.406,0.027652,27.652,9.7829,0.027652,27.652,10.845
0.027889,27.889,9.642,0.027889,27.889,5.6418,0.027889,27.889,12.46
0.028125,28.125,8.4162,0.028125,28.125,3.6335,0.028125,28.125,11.786
0.028361,28.361,8.3835,0.028361,28.361,5.7231,0.028361,28.361,10.258
0.028598,28.598,7.8661,0.028598,28.598,7.397,0.028598,28.598,8.1966
0.028834,28.834,6.5628,0.028834,28.834,4.3635,0.028834,28.834,8.1123
0.02907,29.07,5.8502,0.02907,29.07,3.5853,0.02907,29.07,7.4459
0.029307,29.307,8.2159,0.029307,29.307,6.1273,0.029307,29.307,9.6875
0.029543,29.543,9.3481,0.029543,29.543,5.7544,0.029543,29.543,11.88
0.029779,29.779,10.672,0.029779,29.779,6.116,0.029779,29.779,13.882
0.030016,30.016,8.105,0.030016,30.016,4.1102,0.030016,30.016,10.92
0.030252,30.252,8.3035,0.030252,30.252,3.9578,0.030252,30.252,11.365
0.030488,30.488,8.5039,0.030488,30.488,4.8369,0.030488,30.488,11.088
0.030725,30.725,7.5213,0.030725,30.725,5.0594,0.030725,30.725,9.256
